id,qid1,qid2,question1,question2,is_duplicate
52,161,162,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0
53,163,164,What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0
54,165,166,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0
55,167,168,Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0
56,175,176,What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0
57,179,180,What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0
58,181,182,What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0
59,183,184,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0
60,189,190,What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0
61,193,194,What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,0
62,195,196,Why did harry become a horcrux?,What is a Horcrux?,0
63,197,198,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0
64,199,200,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0
65,203,204,Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0
66,205,206,What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0
67,207,208,Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,0
68,211,212,Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0
69,213,214,Have you ever heard of travel hacking?,Can WhatsApp be hacked?,0
70,217,218,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0
71,219,220,How Google helps in spam ranking adjustment of the search results?,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",0
72,221,222,Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0
73,223,224,Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0
74,225,226,How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,0
75,229,230,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0
76,231,232,Why do we cry when we are happy and when we are sad?,Why do we cry?,0
77,233,234,Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0
78,235,236,"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0
79,237,238,What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0
80,239,240,Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,0
81,243,244,What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?",0
82,247,248,What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0
83,249,250,What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,0
84,253,254,What is the mean of future budget?,What is the meaning of the future?,0
85,257,258,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0
86,259,260,How do I access Torbox in India?,How do I access Google.com from India?,0
87,261,262,What are some yakshini mantras?,What is a Yantra & Mantra?,0
88,263,264,Was six party talks successful?,Which course is better in NICMAR?,0
89,265,266,How do I register my domain site email?,How do you register a .an domain?,0
90,267,268,Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,0
91,269,270,What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,0
92,275,276,Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0
93,277,278,How i get hair on bald head?,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",0
94,279,280,What is the ideal life after retirement?,What's life after retirement?,0
95,281,282,What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0
96,283,284,What are good websites for escorts?,How do I find a good escort?,0
97,285,286,Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,0
98,291,292,Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0
99,293,294,How would you review the site Waveclues?,Is there a good pay for reviews site out there?,0
100,295,296,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0
101,297,298,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0
102,299,300,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0
103,301,302,How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0
104,303,304,How can I stop being afraid of working?,How do you stop being afraid of everything?,0
105,307,308,At what age should someone lose their virginity?,"At what age, how, and where did you lose your virginity?",0
106,309,310,How forgetful are you?,How can I forget my wife?,0
107,311,312,Could Snoke secretly be Darth Maul?,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,0
108,315,316,Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0
109,323,324,"I got job offer @ Chelmsford-Essex, London with å£3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0
110,325,326,What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0
111,329,330,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0
112,333,334,Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0
113,335,336,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?",0
114,339,340,How do you make life suit you and stop life from abusing you mentally and emotionally?,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",0
115,341,342,What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0
116,343,344,Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0
117,345,346,What is the best way to gain confidence?,How can I speak with more clarity and confidence?,0
118,349,350,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0
119,355,356,"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0
120,363,364,How can I stop being addicted to love?,How do I stop being addicted to someone?,0
121,367,368,How do I find a startup accelerator?,How do startup accelerators give you the funding?,0
122,369,370,How can I check wifi history and access it through android phones?,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,0
123,373,374,What is the most creative college admissions essay you've read?,Has any college admission officer cried in public while reading an applicant's essay?,0
124,375,376,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",What happens if eye medicine enters the eye?,0
125,385,386,Who was the wife of Lord Krishna?,Who is the father of lord Krishna?,0
126,391,392,What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0
127,393,394,Which psychological need does 'collecting' fulfill?,Why do people collect things?,0
128,403,404,Are there People who are willing to give free lectures or conduct free workshop in India colleges?,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",0
129,405,406,What's the best way to start learning robotics?,What is the best way to start robotics? Which is the best development board that I can start working on it?,0
130,409,410,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",0
131,411,412,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?","Is atheism the lack of belief in gods, or a claim that god does not exist?",0
132,413,414,What is it like to be Jack Dorsey?,What is Jack Dorsey like?,0
133,415,416,What are the best quotes/lessons of the Assassin's Creed series?,Which assassin has the best robes in Assassin's Creed?,0
134,417,418,"Do inkjet printers use color ink when printing black and white documents? If so, why?","If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?",0
135,423,424,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,Why don't phones have a built-in FM antenna?,0
136,425,426,What are the best career growth technologies for automation engineers apart from automation tools?,Himalayan or Duke KTM 200 for touring?,0
137,427,428,What are the disadvantages of listing a company in NSE?,What are the benefits of listing a company in NSE?,0
138,429,430,How many derivatives of an object's position with respect to time have to be continuous?,When does drawing become fun?,0
139,435,436,What is a profitable way to trade binary options?,What is binary options trading?,0
140,437,438,How do I utilize free time to avoid depression?,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,0
141,445,446,How can I find job in Japan?,How can I find an IT job in Japan?,0
142,447,448,"What are some examples of sentences using the word ""hysteria""?",What is the best home wireless network setup and expected speeds?,0
143,451,452,How scary is it to drive on the road to Hana given all of the turns?,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,0
144,455,456,Does cognition affect perception?,Does cognitive strain affect digestion?,0
145,457,458,How TQWL is different from CKWL (Tatkal waiting list)?,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,0
146,461,462,How many Champions are there in League of Legends?,Who is the best LoL (League of Legends) champion?,0
147,463,464,Is drinking 4 liters of water each day unhealthy?,How many liters of water should I drink if I run 5kms daily?,0
148,465,466,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?","Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?",0
149,467,468,Do porn stars watch porn?,How can I book Ronda Rousey to star in an adult movie?,0
150,469,470,"Trump supporters, how do you feel about the way he's walking back his promises?",Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,0
151,475,476,"If I jump rope for five minutes, how many calories will I use?",What's the best way to jump rope?,0
152,479,480,What is the best material for understanding algorithmic analysis by a newbie?,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,0
153,481,482,What is the temperament of a Bullmastiff/Husky mix?,What is the temperament of a Corgi-Husky mix?,0
154,483,484,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?","How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?",0
155,491,492,How do you get a book published?,What are the good ways to write and publish a book?,0
156,495,496,Why can flash run so fast?,The Flash (DC character): How fast can the Flash run a mile?,0
157,497,498,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest ‰â_5000 over the next 6 months?,0
158,505,506,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0
159,509,510,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0
160,513,514,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0
161,515,516,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0
162,517,518,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,0
163,519,520,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,0
164,527,528,What do you do if you had a bad dream?,How do you not get bad dreams?,0
165,81,529,Why do Slavs squat?,Do squats work for men?,0
166,530,531,How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,0
167,532,533,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,0
168,536,537,How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?",0
169,542,543,Why aren't there more apps like Word Lens?,What does Word Lens use for OCR?,0
170,544,545,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",0
171,552,553,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0
172,554,555,How do most people die?,How do people die?,0
173,556,557,Why are most clothes made of polyester now instead of cotton?,How are cotton clothes made?,0
174,558,559,What is in bone marrow?,What does bone marrow taste like?,0
175,560,561,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0
176,564,565,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,0
177,566,567,When travelling to a new region is it better to immerse yourself in 1‰ÛÒ2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
178,578,579,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
179,580,581,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
180,584,585,What is CPAGrip.com?,What is bestmytest.com?,0
181,588,589,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
182,594,595,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
183,596,597,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
184,600,601,How should I start small business effectively?,How should I start a small business in construction?,0
185,602,603,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
186,604,605,Do you need friends?,Why do we need friends?,0
187,606,607,Do I exist?,Do we exist?,0
188,610,611,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
189,612,613,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
190,620,621,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,0
191,622,623,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,0
192,626,627,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,0
193,628,629,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0
194,630,631,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,0
195,632,633,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0
196,638,639,Why should I learn web design?,How can I learn about web design?,0
197,640,641,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0
198,648,649,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
199,650,651,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0
200,653,654,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0
201,655,656,What is journalism for you?,What is journalism?,0
202,659,660,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0
203,663,664,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,0
204,665,666,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0
205,667,668,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,Can I get a job in a consulting firm after Mtech in CSE from IIT?,0
206,669,670,Is there a biological reason that people cry when they are emotional?,What is the biological reason for crying?,0
207,671,672,What are 5 facts about the earth's crust?,How does the Earth's core affect its crust?,0
208,673,674,Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,0
209,675,676,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?,0
210,679,680,Which is the best programing language for tcs?,Which is the best programming language?,0
211,683,684,Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,0
212,685,686,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,0
213,687,688,What are the five most popular sugar daddy websites?,What is it like to date a cougar or a sugar daddy?,0
214,689,690,What is the VTU 1st sem exam time table of 2016 (Dec)?,How do I frame my time table for 4 months to crack Gate 2016?,0
215,701,702,Harvard College Courses: What is general shopping advice for Turkish classes?,Harvard College Courses: What is general shopping advice for Tamil classes?,0
216,703,704,How do I send message from one Android phone to another Android phone through bluetooth?,How do I transfer my contacts from one Android phone to another Android phone?,0
217,706,707,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,0
218,708,709,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,0
219,710,711,What universities does Powell Industries recruit new grads from? What majors are they looking for?,What universities does Chart Industries recruit new grads from? What majors are they looking for?,0
220,712,713,What are some of the best movie posters you have come across?,What are the best & iconic movie posters?,0
221,714,715,What are some examples of deuteromycota and how are they formed?,Could all bitcoin mining be done by a single Raspberry Pi?,0
222,716,717,How racist is too racist?,How racist are you?,0
223,718,719,Are there any differences between however and nevertheless?,What's the difference between between and among?,0
224,720,721,Are Canada Geese really Canadian?,What do Canadians call Canada?,0
225,722,723,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,0
226,724,725,How do I edit my devices on my Google play account?,How do I add a second device to a Google Play account?,0
227,730,731,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,Who is more delusional: Donald Trump or Ted Cruz?,0
228,732,733,Why do they name bastards Snow?,"If Jon Snow is not Ned's bastard, why does Lady Catelyn hate him so much?",0
229,736,737,Do Mexican girls like black guys?,Do girls like black guys with no beard?,0
230,738,739,Have you lived in a tiny house?,Would you live in a tiny house?,0
231,740,741,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",I am an 18 years old boy and I love a girl who's 14 years old. We both live Tamil Nadu. Is this a time to propose to her?,0
232,742,743,Can you debeak cockerels at 8 months old?,How much and with what should I feed my 3 months old raven?,0
233,746,747,How do we avoid whey in Yogurt?,Is bad breath a sign of a strong stomach?,0
234,748,749,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?","I'm a girl and I'm in love my best friend (who is also a girl), what should I do?",0
235,750,751,What is the best university in Germany for an MS?,Which are the best universities in Germany for getting a degree in mechanical engineering?,0
236,754,755,Which car has good build quality in india?,Is Volkswagen a good reliable car?,0
237,756,757,Why does massaging one's temples soothe a migraine or headache?,What are the causes and most effective ways to treat or cure migraine headaches?,0
238,760,761,Why are my bestfriend still ignoring me?,What should I do when my bestfriend is ignoring me?,0
239,762,763,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,Which useful Android phone apps are not available in the Google Play store?,0
240,766,767,What are the top assessment companies in India?,Which are the top firms in Skills assessment industry in India and Globally?,0
241,768,769,What does @ mean as an emoticon?,Emoticons: What does ‰ÛÏ:/‰Û mean?,0
242,770,771,Is a pinkish discharge normal in early pregnancy? What causes it?,What did nicholas piramal do with 17500 cr?,0
243,772,773,What are the best ways to properly finger yourself?,What would be the best way of keeping yourself amused in a prison?,0
244,774,775,How do scientists work?,Where do scientists work?,0
245,776,777,How many sponsored candidates are shortlisted for CMC vellore?,"What is the office culture and woking at Patanjali office, haridwar?",0
246,780,781,What is the condition of tourism in Pakistan?,Preferable PG courses for BE (EEE) student in Tamil Nadu?,0
247,782,783,What is the different between offshore and onshore funds?,What is the difference between offshore and onshore?,0
248,790,791,A title for my continuation to The Gift of the Magi?,How do I start my continuation for the Gift of the Magi?,0
249,794,795,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,0
250,800,801,Why do dreams look so real?,"If you dream about some kind of harm, will there be injuries in real life?",0
251,810,811,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,0
252,812,813,"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,0
253,814,815,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",0
254,820,821,Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,0
255,824,825,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",What is the syllabus for ICSE 2017 geography map?,0
256,826,827,Which is more financially beneficial: being in a firm or teaching in an architecture college?,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?",0
257,830,831,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0
258,832,833,What is the biggest monster in Monster Hunter?,Is there a Monster Hunter PC game?,0
259,834,835,How can I convince people to stop blaspheming against the Holy Spirit?,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,0
260,836,837,Why can't I stop watching porn?,Why should / shouldn't I watch porn?,0
261,838,839,How can I start trusting any one?,How can one learn to trust again?,0
262,844,845,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,0
263,846,847,Why can‰Ûªt charged molecules pass through the lipid cell membrane?,Why can't sodium channels pass through potassium channels?,0
264,848,849,How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,0
265,850,851,What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,0
